"CommandType","Name","Version","Source"
"Function","Export-BCCachePackage","1.0.0.0","BranchCache"
"Function","Export-BCSecretKey","1.0.0.0","BranchCache"
"Function","Export-ODataEndpointProxy","1.0","Microsoft.PowerShell.ODataUtils"
"Function","Export-ScheduledTask","1.0.0.0","ScheduledTasks"
"Cmdlet","Export-Alias","7.0.0.0","Microsoft.PowerShell.Utility"
"Cmdlet","Export-BinaryMiLog","7.0.0.0","CimCmdlets"
"Cmdlet","Export-Certificate","1.0.0.0","PKI"
"Cmdlet","Export-Clixml","7.0.0.0","Microsoft.PowerShell.Utility"
"Cmdlet","Export-Counter","3.0.0.0","Microsoft.PowerShell.Diagnostics"
"Cmdlet","Export-Csv","7.0.0.0","Microsoft.PowerShell.Utility"
"Cmdlet","Export-FormatData","7.0.0.0","Microsoft.PowerShell.Utility"
"Cmdlet","Export-ModuleMember","7.1.3.0","Microsoft.PowerShell.Core"
"Cmdlet","Export-PfxCertificate","1.0.0.0","PKI"
"Cmdlet","Export-ProvisioningPackage","3.0","Provisioning"
"Cmdlet","Export-PSSession","7.0.0.0","Microsoft.PowerShell.Utility"
"Cmdlet","Export-StartLayout","1.0.0.0","StartLayout"
"Cmdlet","Export-StartLayoutEdgeAssets","1.0.0.0","StartLayout"
"Cmdlet","Export-TlsSessionTicketKey","2.0.0.0","TLS"
"Cmdlet","Export-Trace","3.0","Provisioning"
"Cmdlet","Export-WindowsCapabilitySource","3.0","Dism"
"Cmdlet","Export-WindowsDriver","3.0","Dism"
"Cmdlet","Export-WindowsImage","3.0","Dism"
