"Name","Directory","Owner","MB","CreationTime","LastAccessTime"
"Copied Data",,"THANHMINH\CITY","9.5367431640625E-07","3/29/2021 1:02:48 PM","3/30/2021 10:33:30 AM"
"Data",,"THANHMINH\CITY","9.5367431640625E-07","3/29/2021 12:47:22 PM","3/30/2021 11:07:36 AM"
"Logs",,"THANHMINH\CITY","9.5367431640625E-07","3/30/2021 11:11:08 AM","3/30/2021 11:17:08 AM"
"PSFolderNew",,"THANHMINH\CITY","9.5367431640625E-07","3/28/2021 10:43:31 AM","3/30/2021 10:33:30 AM"
"Functions.ps1","C:\Temp","THANHMINH\CITY","0.00193595886230469","3/29/2021 11:37:18 AM","3/30/2021 10:45:20 AM"
"PSAdmin.ps1","C:\Temp","THANHMINH\CITY","0.00355148315429688","3/29/2021 12:14:56 PM","3/30/2021 11:17:00 AM"
"Remote.ps1","C:\Temp","THANHMINH\CITY","0.00213718414306641","3/29/2021 11:37:18 AM","3/30/2021 10:45:20 AM"
"start.ps1","C:\Temp","THANHMINH\CITY","0.0113115310668945","3/29/2021 11:37:18 AM","3/30/2021 10:45:20 AM"
"logs",,"THANHMINH\CITY","9.5367431640625E-07","3/29/2021 11:48:14 AM","3/30/2021 10:58:11 AM"
"config","C:\Temp\.git","THANHMINH\CITY","0.000275611877441406","3/29/2021 11:50:22 AM","3/30/2021 10:33:30 AM"
"refs",,"THANHMINH\CITY","9.5367431640625E-07","3/29/2021 11:48:14 AM","3/30/2021 10:58:11 AM"
"HEAD","C:\Temp\.git\logs","THANHMINH\CITY","0.000487327575683594","3/29/2021 11:48:14 AM","3/29/2021 5:21:40 PM"
"heads",,"THANHMINH\CITY","9.5367431640625E-07","3/29/2021 11:48:14 AM","3/30/2021 10:58:11 AM"
"remotes",,"THANHMINH\CITY","9.5367431640625E-07","3/29/2021 11:50:22 AM","3/30/2021 10:58:11 AM"
"main","C:\Temp\.git\logs\refs\heads","THANHMINH\CITY","0.000487327575683594","3/29/2021 11:48:14 AM","3/29/2021 5:21:40 PM"
"origin",,"THANHMINH\CITY","9.5367431640625E-07","3/29/2021 11:50:22 AM","3/30/2021 10:58:11 AM"
"main","C:\Temp\.git\logs\refs\remotes\origin","THANHMINH\CITY","0.000420570373535156","3/29/2021 11:50:22 AM","3/29/2021 5:21:58 PM"
"21",,"THANHMINH\CITY","9.5367431640625E-07","3/29/2021 11:48:14 AM","3/30/2021 10:58:11 AM"
"38",,"THANHMINH\CITY","9.5367431640625E-07","3/29/2021 11:48:14 AM","3/30/2021 10:58:11 AM"
"73",,"THANHMINH\CITY","9.5367431640625E-07","3/29/2021 11:48:14 AM","3/30/2021 10:58:11 AM"
"7d",,"THANHMINH\CITY","9.5367431640625E-07","3/29/2021 11:48:14 AM","3/30/2021 10:58:11 AM"
"82",,"THANHMINH\CITY","9.5367431640625E-07","3/29/2021 11:48:14 AM","3/30/2021 10:58:11 AM"
"8a",,"THANHMINH\CITY","9.5367431640625E-07","3/29/2021 11:48:14 AM","3/30/2021 10:58:11 AM"
"8f",,"THANHMINH\CITY","9.5367431640625E-07","3/29/2021 11:48:14 AM","3/30/2021 10:33:34 AM"
"93",,"THANHMINH\CITY","9.5367431640625E-07","3/29/2021 11:48:14 AM","3/30/2021 10:58:11 AM"
"a6",,"THANHMINH\CITY","9.5367431640625E-07","3/29/2021 11:48:14 AM","3/30/2021 10:58:11 AM"
"d6",,"THANHMINH\CITY","9.5367431640625E-07","3/29/2021 11:48:14 AM","3/30/2021 10:58:11 AM"
