"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessName","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"acrotray","42","165","70246400","7933952","2125824","12096","C:\Program Files (x86)\Adobe\Acrobat DC\Acrobat\acrotray.exe","""C:\Program Files (x86)\Adobe\Acrobat DC\Acrobat\acrotray.exe"" ",,"Adobe Systems Inc.","0.03125","19.8.20071.303822","19.8.20071.303822","AcroTray","AcroTray - Adobe Acrobat Distiller helper application.","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6292","8",,"False","3/28/2021 9:05:58 AM",,"12864",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","12096","12096","2125824","2125824","135312","135312","2392064","2392064","8912896","8912896","84299776","84299776","True","Normal","2125824","2125824","acrotray","4095","42",,"System.Diagnostics.ProcessThreadCollection","165","70246400","70246400","False",,,,"7933952","7933952",,"System.Diagnostics.ProcessModule (acrotray.exe)","00:00:00.0312500","00:00:00.0312500","00:00:00","0","","True",,
"AdobeARM","42","320","105062400","4784128","3706880","19032","C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\AdobeARM.exe","""C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\AdobeARM.exe""",,"Adobe Systems Incorporated","2.5625","1.824.29.8644","1.824.29.8644","Adobe Reader and Acrobat Manager","Adobe Reader and Acrobat Manager","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3900","6",,"False","3/28/2021 11:00:01 AM",,"20084",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","19032","19032","3706880","3706880","200168","200168","5931008","5931008","379318272","379318272","483598336","483598336","True","BelowNormal","3706880","3706880","AdobeARM","4095","42",,"System.Diagnostics.ProcessThreadCollection","320","105062400","105062400","False",,,,"4784128","4784128",,"System.Diagnostics.ProcessModule (AdobeARM.exe)","00:00:00.6250000","00:00:02.5625000","00:00:01.9375000","0","","True",,
"AdobeUpdateService","0","158","46252032","2273280","1585152","10088",,,,,,,,,,"Process",,,"8",,,,,"4296",".",,,,"10088","10088","1585152","1585152","91008","91008","1736704","1736704","7516160","7516160","51494912","51494912",,,"1585152","1585152","AdobeUpdateService",,"0",,"System.Diagnostics.ProcessThreadCollection","158","46252032","46252032","False",,,,"2273280","2273280",,,,,,"0","","True",,
"AGMService","0","268","109199360","6840320","7053312","16712",,,,,,,,,,"Process",,,"8",,,,,"4500",".",,,,"16712","16712","7053312","7053312","142536","142536","9719808","9719808","19329024","19329024","140578816","140578816",,,"7053312","7053312","AGMService",,"0",,"System.Diagnostics.ProcessThreadCollection","268","109199360","109199360","False",,,,"6840320","6840320",,,,,,"0","","True",,
"AGSService","0","374","103792640","9609216","6443008","17576",,,,,,,,,,"Process",,,"8",,,,,"4584",".",,,,"17576","17576","6443008","6443008","144808","144808","8708096","8708096","21274624","21274624","221958144","221958144",,,"6443008","6443008","AGSService",,"0",,"System.Diagnostics.ProcessThreadCollection","374","103792640","103792640","False",,,,"9609216","9609216",,,,,,"0","","True",,
"ApplicationFrameHost","42","508","2203595169792","36364288","26333184","29368","C:\WINDOWS\system32\ApplicationFrameHost.exe","C:\WINDOWS\system32\ApplicationFrameHost.exe -Embedding",,"Microsoft Corporation","1.203125","10.0.19041.746 (WinBuild.160101.0800)","10.0.19041.746","Application Frame Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6328","8",,"False","3/28/2021 9:06:23 AM",,"21532",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","29368","29368","26333184","26333184","412920","412920","34652160","34652160","44597248","44597248","2203608842240","290619392","True","Normal","26333184","26333184","ApplicationFrameHost","4095","42",,"System.Diagnostics.ProcessThreadCollection","508","2203595169792","276946944","False",,,,"36364288","36364288",,"System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","00:00:00.7031250","00:00:01.2031250","00:00:00.5000000","328308","Untitled ‎- Paint 3D","True",,
"audiodg","0","367","2203428732928","24465408","17739776","15080",,,,,"12.6875",,,,,"Process",,,"8",,,"3/28/2021 11:38:49 AM",,"13316",".",,,,"15080","15080","17739776","17739776","122704","122704","17833984","17833984","24518656","24518656","2203429781504","111558656",,,"17739776","17739776","audiodg",,"0",,"System.Diagnostics.ProcessThreadCollection","367","2203428732928","110510080","False",,,,"24465408","24465408",,,"00:00:00.9531250","00:00:12.6875000","00:00:11.7343750","0","","True",,
"avp","0","4971","1082703872","244006912","483373056","306408",,,,,,,,,,"Process",,,"8",,,,,"4304",".",,,,"306408","306408","483373056","483373056","757640","757640","732139520","732139520","581849088","581849088","1351618560","1351618560",,,"483373056","483373056","avp",,"0",,"System.Diagnostics.ProcessThreadCollection","4971","1082703872","1082703872","False",,,,"244006912","244006912",,,,,,"0","","True",,
"avp","42","312","168169472","7839744","12161024","52392",,,,,"1.21875",,,,,"Process",,,"8",,"False","3/28/2021 9:05:43 AM",,"7500",".",,,,"52392","52392","12161024","12161024","234376","234376","14860288","14860288","26091520","26091520","174747648","174747648",,,"12161024","12161024","avp",,"42",,"System.Diagnostics.ProcessThreadCollection","312","168169472","168169472","False",,,,"7839744","7839744",,,"00:00:00.5781250","00:00:01.2187500","00:00:00.6406250","0","","True",,
"avpsus","0","378","161918976","5722112","23781376","29592",,,,,,,,,,"Process",,,"8",,,,,"16616",".",,,,"29592","29592","23781376","23781376","168664","168664","27979776","27979776","30842880","30842880","180903936","180903936",,,"23781376","23781376","avpsus",,"0",,"System.Diagnostics.ProcessThreadCollection","378","161918976","161918976","False",,,,"5722112","5722112",,,,,,"0","","True",,
